Topic,Impact_Factor
mobile technology,0.6149767413605941
smart antenna,0.6149641181700163
generalized likelihoodratio test,0.6149069601307294
spatial correlation,0.6149069601307294
multiuser interference,0.6149069601307294
turbo equalization,0.6149069601307294
iterative receiver,0.6149069601307294
dataintensive application,0.6141314650311709
mesh topology,0.6140890496662148
transport layer,0.6140271974334788
context model,0.6138980005027284
satisfiability problem,0.6120383896376324
knearest neighbor classifier,0.6120383896376324
architecture design,0.6104283112153457
coordinated multi point,0.608978481798382
stereo correspondence,0.60893241612632
orientation field,0.60893241612632
routing path,0.6079904381951416
multipath fading channel,0.6076751687016346
mobile wireless sensor network,0.6076751687016346
rake receiver,0.6076751687016346
wireless sensor node,0.6076751687016346
multipath channel,0.6076414891345252
transponder,0.6061629673825396
fractional differential equation,0.6059645873896652
nonlinear function,0.6057420756363553
decision procedure,0.6056658397563071
lyapunov theory,0.6056658397563071
random early detection,0.605088690132854
mobile service,0.605088690132854
buffer overflow,0.605088690132854
mean opinion score,0.605088690132854
streaming video,0.605088690132854
computing system,0.6041238532468459
gaussian filter,0.6037715982607789
wavelet domain,0.6037715982607789
vlsi architecture,0.6037715982607789
weather radar,0.6037715982607789
scaling function,0.6037715982607789
bistatic radar,0.6037715982607789
wavelet transformation,0.6037715982607789
multiple description coding,0.6037715982607789
execution trace,0.6026589306244404
heterogeneous database,0.6026589306244404
personalized service,0.6026589306244404
temporal property,0.6026589306244404
xml schema,0.6026589306244404
type inference,0.6026589306244404
multimodal interaction,0.6024902587332619
lssvm,0.6014906040449111
residue number system,0.600646738137499
shared memory multiprocessor,0.600646738137499
cac,0.6000229063701311
random projection,0.5997288181830073
estimation of distribution algorithm,0.5997288181830073
combinatorial auction,0.5997288181830073
unified medical language system,0.5997288181830073
distributed architecture,0.5997288181830073
sharable content object reference model,0.598612622843729
multiwavelets,0.5982267441789866
multicast routing protocol,0.5979770171574528
partial occlusion,0.5977970542563693
appearance model,0.5977970542563693
shape context,0.5977970542563693
biometric identification,0.5977970542563693
wavelength converter,0.5977515647461296
component model,0.5975988148184219
gaussian channel,0.5975097983368518
autonomous mobile robot,0.5974439924490151
robotic hand,0.5973114566195847
wireless communication system,0.597285921171242
transmission capacity,0.597285921171242
haptic interaction,0.597285921171242
video communication,0.597285921171242
radio channel,0.597008568902184
network performance,0.597008568902184
superposition coding,0.596539806831684
call blocking probability,0.596539806831684
packet loss rate,0.596539806831684
mobile network,0.596539806831684
link layer,0.5964556017752026
atm network,0.5964556017752026
mobile communication,0.5962154195949048
failure detector,0.5954769625991457
asynchronous system,0.5954769625991457
screen reader,0.5945208728720803
cooperative work,0.5945208728720803
man in the middle attack,0.5943997072945157
maninthemiddle attack,0.5943997072945157
multimodal system,0.5937489225227857
active appearance model,0.593356268301682
fourier descriptor,0.593356268301682
image feature,0.593356268301682
line drawing,0.593356268301682
fuzzy cognitive map,0.593356268301682
diversitymultiplexing tradeoff,0.5929451692539158
denial of service attack,0.592779118678229
galois field,0.592779118678229
electronic document,0.592779118678229
business process reengineering,0.5925807570610454
timing offset,0.5925522775337507
watershed transformation,0.592551446409808
stereo camera,0.5922789428506459
artificial potential field,0.5922789428506459
grid service,0.5921557812673703
moment method,0.5915194278819272
cosmic microwave background,0.5915194278819272
wiener filtering,0.5914620268061538
bayesian estimation,0.5914620268061538
gibbs sampler,0.5914620268061538
variational method,0.5914620268061538
geometric distortion,0.5914620268061538
nonlinear effect,0.5914620268061538
analytic signal,0.591138925442519
cloud security,0.5903629231251338
private cloud,0.5903629231251338
combinatorial algorithm,0.5903120132707478
improved genetic algorithm,0.5901872441808236
nfc,0.5899767413605941
cell phone,0.5896961221795497
nonholonomic system,0.5895617289248815
full adder,0.5895095541264178
tag recommendation,0.5888980005027283
social web,0.5888980005027283
reactive system,0.5888980005027283
functional dependency,0.5888980005027283
query rewriting,0.5888980005027283
query translation,0.5888980005027283
business service,0.5888980005027283
speech corpus,0.5883279311742692
blind identification,0.5882642314833276
lossy compression,0.5881637108114371
spatial index,0.5880609634548336
differential privacy,0.5880609634548336
database search,0.5880609634548336
system architecture,0.5880609634548336
mobile terminal,0.5876773310109052
fbg sensor,0.5863557392522797
thermal image,0.5862245471678673
latent variable,0.5859678880612952
matrix factorization,0.5859678880612952
cybercrime,0.5857414601998809
botnet,0.5857414601998809
botnets,0.5857414601998809
cyber crime,0.5857414601998809
stochastic petri net,0.5852956850627516
priority queue,0.5852956850627516
conditional probability,0.5852002268822267
cloud service,0.5850018851649597
multimedia communication,0.5849763497166169
linear motor,0.5843093610671298
communication network,0.5842160870357406
industrial design,0.5842160870357406
backoff algorithm,0.5841460303205775
network management system,0.5841460303205775
test collection,0.5841447905630087
software quality model,0.5839700348189436
quality modeling,0.5839700348189436
precoding scheme,0.5836834712903574
absorbing boundary condition,0.5835929350258513
multiagent learning,0.5822620916744672
cloud storage,0.581752200883032
distributed coordination function,0.5813533959279145
closed loop control,0.5813340095260702
star graph,0.5812786796158591
mobile platform,0.5811435809806952
service oriented computing,0.5809167113890825
pattern language,0.5807599427503681
virtual agent,0.5807599427503681
avatar,0.5807599427503681
gaussian function,0.5807420756363553
fusion rule,0.5805912086751185
specific absorption rate,0.5803840660119766
broadband wireless access,0.5802994479236997
usability test,0.5799879924010735
semantic search,0.5799879924010735
3d user interface,0.5799879924010735
training set,0.5795953381799699
test set,0.5795953381799699
associative learning,0.5795953381799699
rulebased machine learning,0.5795953381799699
contrastive representation learning,0.5795953381799699
training algorithm,0.5795953381799699
selfsupervised learning,0.5795953381799699
fuzzy classifier,0.5791791249845688
multimedia content,0.579106761161279
product line engineering,0.5791011143666364
component based software design,0.5791011143666364
componentbased design,0.5791011143666364
automatic code generation,0.5791011143666364
reference architecture,0.5791011143666364
selfadaptive system,0.5791011143666364
covert channel,0.5790181885565169
covert communication,0.5790181885565169
system call,0.5790181885565169
fluid model,0.5790181885565169
web graph,0.5790181885565169
homomorphicencryptions,0.5790181885565169
infrared sensor,0.5788572676770387
graph grammar,0.5787252429693497
product line,0.5785916781874587
secondary user,0.5784784903806028
nonholonomic mobile robot,0.5784263670549308
multiple mobile robot,0.5784263670549308
telerobotics,0.5784263670549308
laser range finder,0.5784263670549308
optimal policy,0.5784056309211747
interference coordination,0.5781764628441141
fokkerplanck equation,0.5781625684038786
fokker planck equation,0.5781625684038786
realtime application,0.5777010966844416
generalized gaussian distribution,0.5777010966844416
cellular phone,0.5775679496931041
tangible interface,0.5774902587332619
energy market,0.5774376297432474
mobile sink,0.5774376297432474
smart sensor,0.5774376297432474
camera phone,0.5774376297432474
low power consumption,0.5774069601307295
maximumlikelihood detection,0.5771925768987107
orthogonality,0.5769204419317625
differentiated service,0.5765779730455554
photoacoustic imaging,0.5764586902961236
epc,0.5763898409203309
model test,0.5763882739186167
cognitive network,0.5761897865817731
uniform linear array,0.5759546600287025
firewall,0.5759173326886
modelbased testing,0.5752118366087382
embedded processor,0.5745762365611617
multiprocessor system on chip,0.5745762365611617
hardware acceleration,0.5745762365611617
secure group communication,0.5745392962039636
biometric authentication system,0.5745392962039636
biometric information,0.5745392962039636
continuous phase modulation,0.5744207379998814
maximumlikelihood decoding,0.5743157374495664
speech rate,0.5742073425579826
amplified spontaneous emission,0.574199689618723
bragg grating,0.5740461677976546
frequency conversion,0.5740461677976546
motion model,0.5739149757132422
content management system,0.5738064484316643
video server,0.5737976634194992
deblocking filter,0.5737976634194992
information overload,0.5732971446348114
distributed environment,0.5732971446348114
natural language interface,0.5732971446348114
information content,0.5732971446348114
delay jitter,0.5729861136081266
viewpoint,0.5729861136081266
architecture framework,0.5729861136081266
extensible stylesheet language,0.5729523857697778
embedded memory,0.5725988148184219
device driver,0.5725988148184219
scorm,0.5725662845714277
discrete element method,0.5723538651475634
parallel file system,0.5719904859312767
cholesky factorization,0.5719904859312767
mammogram,0.5717265526800321
transmission range,0.5712409550432476
communication delay,0.5712154195949047
laser communication,0.5712154195949047
emotional expression,0.5712154195949047
phase detector,0.5709562389085123
location service,0.5703851001988653
computing with word,0.5703670321933783
reflector antenna,0.5703545678604425
smith predictor,0.570191745501144
bitinterleaved coded modulation,0.5701751687016346
mih,0.5701751687016346
fitness function,0.5700991172104021
evolutionary strategy,0.5700991172104021
facial identification,0.5690982050438461
subchannels,0.5689114591954979
intranet,0.5686152311678236
human tracking,0.5686126074070615
adaptive array,0.5675924658062024
usability study,0.5675807570610454
enterprise information system,0.5675807570610454
incomplete information system,0.5675807570610454
csp,0.5674633859795464
quadruped robot,0.567385349941828
dynamic spectrum allocation,0.5673431285106522
timed petri net,0.5672451594328138
range query,0.5671557812673703
distributed virtual environment,0.5671557812673703
parallel execution,0.5671557812673703
semantic service,0.5668746676775785
antenna element,0.5666268813359783
routing metric,0.5665622739956736
utility maximization,0.5663022678732967
daubechies wavelet,0.5662715982607789
secure multicast,0.5662240520028048
secure multicasts,0.5662240520028048
electronic product code,0.5662240520028048
machinetomachine,0.5662240520028048
compiler optimization,0.5659655143190601
software design pattern,0.5653401842449243
capability maturity model,0.5653401842449243
iterative learning control,0.5650523198358168
deontic logic,0.5649685020790656
stochastic game,0.5643826373576237
minimum spanning tree,0.5642415116944105
centrality metric,0.5642415116944105
iris recognition system,0.564131465031171
learning vector quantization,0.563994482312053
parameter uncertainty,0.563994482312053
commercial bank,0.563994482312053
feedforward neural network,0.563994482312053
confusion matrix,0.563994482312053
gaussian kernel,0.563994482312053
credit card,0.563994482312053
multiuser mimo system,0.56396218682226
ofdma system,0.56396218682226
hamming weight,0.5634173326886
algebraic attack,0.5634173326886
ring signature,0.5634173326886
learning organization,0.5629914951138961
knowledge management system,0.5629914951138961
customer service,0.5629914951138961
content delivery network,0.5629566958571416
ip network,0.5629566958571416
parametric uncertainty,0.5626278732454928
phased array,0.5624684610499282
convolutive mixture,0.5621937299069903
wave equation,0.5621937299069903
descriptor system,0.5621937299069903
likelihood ratio,0.5621002408165247
directionofarrival,0.5621002408165247
linear array,0.5621002408165247
document processing,0.5620383896376324
documentprocessing,0.5620383896376324
replay attack,0.5607414601998809
pareto distribution,0.5605457012998417
whispering gallery mode,0.5604387594970109
optical amplifier,0.5602852376759424
spectral subtraction,0.5602698367707112
continuous query,0.5600455183099522
data cube,0.5600455183099522
temporal database,0.5600455183099522
electromagnetic interference,0.5595634741932749
cognitive process,0.559518429137519
code rate,0.5594243683278056
expectation propagation,0.5594100420014463
exact inference,0.5594100420014463
programmable network,0.5592251834864144
acoustic feature,0.559168480874211
maximum likelihood decoding,0.5590554670723802
face identification,0.55893241612632
obstacle detector,0.55893241612632
lane detection,0.55893241612632
obstacle detection,0.55893241612632
data cache,0.5588378846967098
ubiquitous environment,0.5588053544497155
peaktoaverage power ratio reduction,0.5586834712903573
block transmission,0.5586834712903573
numerical optimization,0.5585929350258513
energyconstrained,0.5584468184895355
energy constraint,0.5584468184895355
tactile sensor,0.5584468184895355
graphic processor,0.5582295558095646
pilot symbol,0.5581439307721348
ultra wide band system,0.5581439307721348
data symbol,0.5581439307721348
blind signature scheme,0.5579074663144151
cryptographic primitive,0.5579074663144151
byzantine fault tolerance,0.5575909636451533
redundant robot,0.5573900676599745
detection accuracy,0.5571953087868001
feedback overhead,0.5568802212659979
information acquisition,0.5564852665689295
xslt,0.5561732698114473
structurefrommotion,0.555856268301682
channel state information feedback,0.5556577889863509
infrared camera,0.5556400991753306
hmmbased speech synthesis,0.5555826154224404
suspension system,0.5555776349985421
multihop network,0.5555005859224993
reflectarray,0.5554308025715801
pushdown automaton,0.555423313580204
distributed control system,0.555326064311589
uml model,0.5552872782606266
sequence diagram,0.5552872782606266
information theoretic security,0.5550886901328541
unstructured p2p,0.5550886901328541
hmipv6,0.5550886901328541
mipv6,0.5550886901328541
unstructured peertopeer,0.5550886901328541
highspeed network,0.5550886901328541
high speed network,0.5550886901328541
informationtheoretic security,0.5550886901328541
business process modeling notation,0.5550781727158309
slepianwolf coding,0.5547983292524903
slepianwolf,0.5547983292524903
waveform design,0.5544483253553322
phased array radar,0.5544483253553322
user activity,0.5542795192407272
wearable device,0.5542020966905193
m sequence,0.5537715982607789
dc coefficient,0.5537715982607789
continuous wavelet transforms,0.5537715982607789
one dimensional,0.5537715982607789
onedimensional,0.5537715982607789
msequence,0.5537715982607789
ac coefficient,0.5537715982607789
interference mitigation,0.5536664903873684
buffer circuit,0.5534393586791045
uml profile,0.5532225701983655
software cost estimation,0.5532225701983655
higherorder logic,0.5526589306244405
subtypings,0.5526589306244405
domainspecific modeling,0.5526589306244405
default logic,0.5526589306244405
default reasoning,0.5526589306244405
higher order logic,0.5526589306244405
domain specific modeling,0.5526589306244405
subtyping,0.5526589306244405
people tracking,0.552444731768172
pairwise comparison,0.5523571658191934
information exchange,0.5519799011931285
virtual community,0.5519799011931285
personal health record,0.5519799011931285
information need,0.5519799011931285
information security management,0.5519799011931285
pt,0.5519204419317625
peak signal to noise ratio,0.5516591145286095
grid workflow,0.5515549253994535
son,0.5514516798612625
precoder design,0.5514516798612625
scfde,0.5514516798612625
synthesized speech,0.5511432506245928
fuzzy cmeans algorithm,0.5508800889655537
satellite navigation system,0.5507618242933351
fuzzy expert system,0.5507541030395211
pipeline architecture,0.5506467381374991
complex adaptive system,0.5506217072359116
nearest neighbor classification,0.5505330750045423
softdecision decoding,0.5503972199777454
soft decision decoding,0.5503972199777454
vsm,0.5503045875302965
modelling language,0.5497393283770073
planning algorithm,0.5497288181830073
digital cinema,0.549523071363707
dirtypaper coding,0.5494921887641017
dirty paper coding,0.5494921887641017
sumcapacity,0.5489493343371598
sum capacity,0.5489493343371598
array antenna,0.548707530928216
patch antenna,0.548707530928216
data flow graph,0.5486406558264937
preferential attachment,0.5486406558264937
precoding matrix,0.5485748404121181
tomlinsonharashima precoding,0.5485748404121181
border gateway protocol,0.5481187858313277
feedback bit,0.5478570422834943
stochastic neural network,0.5475664070476592
linear matrix,0.5475664070476592
interval timevarying delay,0.5475664070476592
generalized sidelobe canceller,0.5474757002169992
generalized sidelobe cancellers,0.5474757002169992
enterprise system,0.5473906392459792
virtual organization,0.5473906392459792
multimedia technology,0.5473906392459792
perfect channel state information,0.5469243683278056
multiantenna,0.5469243683278056
spatial multiplexing,0.5469243683278056
speaker adaptation,0.5469243683278056
traffic matrix,0.5465928740390734
systolic array,0.5465928740390734
round trip time,0.546539806831684
interference constraint,0.546539806831684
roundtrip time,0.546539806831684
group key agreement,0.546539806831684
interference power,0.546539806831684
group key agreement protocol,0.546539806831684
robot arm,0.5461853516113556
dinsar,0.5461751603631484
fuzzy association rule,0.5459846159378682
fuzzy decision tree,0.5459846159378682
knowledge discovery in database,0.5459846159378682
common sense knowledge,0.5459846159378682
clinical decision support,0.5459846159378682
extreme learning machine,0.5459846159378682
group signature,0.5454074663144152
forgery attack,0.5454074663144152
mmog,0.5454074663144152
attributebased encryption,0.5454074663144152
web server,0.5454074663144152
malicious attack,0.5454074663144152
message authentication,0.5454074663144152
web crawler,0.5454074663144152
wearable computing,0.5453695111390723
semiconductor counter,0.5452196421343346
channel estimator,0.5452095410096631
trellis coded modulation,0.5452095410096631
channel estimate,0.5452095410096631
trelliscoded modulation,0.5452095410096631
adaptive genetic algorithm,0.545099117210402
penalty function,0.545099117210402
tracking method,0.5449910343979812
matching method,0.5449910343979812
tracking process,0.5449910343979812
matching process,0.5449910343979812
pseudo random number generator,0.5449415107777283
speech database,0.5447842350981976
wearable system,0.5446831089833987
space communication,0.544657573535056
intersatellite link,0.544657573535056
schema mapping,0.5444446624420353
subscription television,0.5443997072945157
backend server,0.5443997072945157
offline password guessing attack,0.5443997072945157
television network,0.5443997072945157
honeynet,0.5443997072945157
adaptive resource allocation,0.5443802212659979
frequencyselective channel,0.5443802212659979
phased array antenna,0.5442840662841052
small antenna,0.5442840662841052
airborne radar,0.5442825364378061
morphological filter,0.5440903744423399
parallel computation,0.5440728161695711
packet scheduling,0.5439114591954979
software reuse,0.5439104543690197
mimoofdm system,0.5438533959279145
multicarrier codedivision multiple access,0.5438421387676796
interleaver,0.5438421387676796
multicarrier code division multiple access,0.5438421387676796
maximum entropy model,0.5436015254616534
multiinput multioutput,0.5434952390256751
supervised learning,0.543356268301682
graph matchings,0.543356268301682
electromagnetic bandgap structure,0.5432087621650487
elearning system,0.5432044985817986
digital video,0.5432044985817986
remelting,0.5430826154224404
speaker verification system,0.5430826154224404
relative reduction,0.5430826154224404
speaker model,0.5430826154224404
selfish node,0.5428578555022346
adaptive controller,0.5426806674720028
comp,0.5425892040404838
uplink,0.5425892040404838
ofdma uplink,0.5425892040404838
peaktoaverage power ratio,0.5425784292615428
underwater robot,0.5423853499418281
path planning method,0.5422789428506459
path planning problem,0.5422789428506459
geometric modelling,0.5419350937021054
morphological operation,0.5418146796504536
difference scheme,0.5416469020840851
featureoriented,0.5414106858212615
featureoriented programming,0.5414106858212615
ergodic capacity,0.5412715982607789
s transforms,0.541138925442519
stransform,0.541138925442519
compiler,0.54096551431906
dijkstra,0.5409393586791046
uep,0.540504176850481
networkinduced delay,0.5398752801521794
jacobian,0.5395617289248815
jacobians,0.5395617289248815
usergenerated content,0.5388980005027284
user generated content,0.5388980005027284
worm propagation,0.5388898409203308
authenticated key exchange,0.5388898409203308
situation awareness,0.5386038639490163
systemlevel design,0.5383371666828739
system level design,0.5383371666828739
canny operator,0.5381158304379304
deontic,0.5378275706821996
structured query language,0.5377564054574648
multispectral imaging,0.5376302328011459
software developer,0.5376217143304486
function point,0.5376217143304486
distributed application,0.537604697352803
digital communication,0.537604697352803
random matrix theory,0.5375727490482556
cyclostationary,0.5375727490482556
mobile agent technology,0.5372287100496657
rayleigh channel,0.536858583013245
decoding complexity,0.5368157374495663
dynamic bayesian network,0.5367342734769206
human activity recognition,0.5366224737812464
accelerometer data,0.5366224737812464
wavelet packet transform,0.536616202876179
wavelet packet transforms,0.536616202876179
powerline communication,0.5365969383329036
automatic segmentation,0.5365690718038922
stereoscopic display,0.5365164852799842
video codecs,0.5363865144047625
video codec,0.5363865144047625
target classification,0.5363186098233339
belief propagation algorithm,0.5363186098233339
controlled object,0.5363186098233339
target recognition,0.5363186098233339
adaptive pid,0.5363186098233339
subapertures,0.5362245471678674
subaperture,0.5362245471678674
block diagonalization,0.536206711053133
ai planning,0.5359678880612951
supervised machine learning,0.5359678880612951
mimo transmission,0.5358508239933455
mai,0.5358508239933455
bluetooth device,0.5358508239933455
multiple receive antenna,0.5358508239933455
untraceability,0.5357666189368642
digital evidence,0.5357414601998809
insider attack,0.5357414601998809
malicious software,0.5357414601998809
social engineering,0.5357414601998809
malicious activity,0.5357414601998809
malware analysis,0.5357414601998809
cable modem,0.5357414601998809
telephone network,0.5357414601998809
active rfid,0.5357414601998809
antimalware,0.5357414601998809
hostbased,0.5357414601998809
rootkits,0.5357414601998809
boolean satisfiability,0.535673751507583
dicom,0.5354874828017443
digital imaging and communication in medicine (di,0.5354874828017443
sdma,0.5352959390415551
ternary content addressable memory,0.5352956850627516
tcam,0.5352956850627516
exit chart,0.5350437520921371
exitcharts,0.5350437520921371
architecture supporting activity,0.5347093473391299
cognitive architecture,0.534518429137519
minimum mean square error criterion,0.534504237134144
error performance,0.5344243683278056
broadcasting antenna,0.5344243683278056
binary phase shift keying,0.5344243683278056
speech feature,0.5344243683278056
lvcsr,0.5344243683278056
code length,0.5344243683278056
doppler frequency shift,0.5344243683278056
transmitting antenna,0.5344243683278056
pitch contour,0.5344243683278056
mfcc,0.5344243683278056
automatic speaker recognition,0.5344243683278056
stereophonic broadcasting,0.5344243683278056
broadcast news,0.5344243683278056
cepstral feature,0.5344243683278056
equal error rate,0.5344243683278056
hierarchical structure,0.5339861274731499
database schema,0.5339861274731499
activity diagram,0.5339861274731499
selfstabilization,0.5339219504820285
tt system,0.5338885663764215
facial action coding system,0.5338556725280306
applicationlayer multicast,0.5335930909881139
application layer multicast,0.5335930909881139
adjoint method,0.5331066750602992
topological structure,0.5331066750602992
decisionfeedback equalization,0.5330883358736926
mimoofdma,0.5330883358736926
subchannel allocation,0.5330883358736926
synchronous circuit,0.533017683117579
partial csi,0.5329739845442012
parallel interference cancellation,0.5329739845442012
highdimensional data,0.5328670321933783
multipath fading,0.5326856756626323
relaying scheme,0.5326751687016347
intercell interference coordination,0.5326751687016347
selected mapping,0.5324745521639876
type2 fuzzy logic system,0.53230498065669
intelligent virtual agent,0.5318304443267055
intelligent sensor,0.5315877393995545
radio station,0.531462840338728
computer aided logic design,0.5312995082045258
cross language information retrieval,0.5312869621362123
agentbased system,0.5310560150317166
ensemble classifier,0.5310560150317166
chaotic attractor,0.530091084361482
location privacy,0.5300886901328541
content based filtering,0.5299879924010735
sense making,0.5299879924010735
contentbased filtering,0.5299879924010735
sensemaking,0.5299879924010735
artificial bee colony algorithm,0.5299149734476108
outofdistribution generalization,0.52959533817997
representation learning,0.52959533817997
ood detection,0.52959533817997
feature learning,0.52959533817997
ood generalization,0.52959533817997
adversarial learning,0.52959533817997
outofdistribution detection,0.52959533817997
gaussian source,0.5294931084140752
noisy speech,0.5294931084140752
subcarrier and power allocation,0.5293379501144634
statefeedback controller,0.5292555627352518
actuator fault,0.5292555627352518
classification technique,0.5292309056214592
classification algorithm,0.5292309056214592
classification approach,0.5292309056214592
process modelling,0.5291011143666364
z notation,0.5291011143666364
formal modelling,0.5291011143666364
regularization method,0.5290870379323097
intrusion prevention,0.5290181885565169
intrusion prevention system,0.5290181885565169
mesoscale eddy,0.5290034112411383
communication aid,0.5287715982607789
condition number,0.5285830076648886
sparse approximation,0.5285830076648886
color classification,0.5284498243233962
informal learning,0.528373013851895
satellite ground station,0.5283382145951404
equalization,0.5282871850470171
analog integrated circuit,0.5281741635803932
slotted aloha,0.5281625684038785
decodeandforward relaying,0.5281625684038785
maximum likelihood linear regression,0.5280088625349033
pairwise key,0.5279642266866116
fourier transform spectrometer,0.5279642266866116
correlated source,0.5279386912382688
passive rfid,0.5277557183757905
single chip,0.5277010966844417
singlechip,0.5277010966844417
saving energy,0.5276652734021055
save energy,0.5276652734021055
ldpc coding,0.5276613389692107
ontology learning,0.5276589306244405
feedback scheme,0.5276019366280574
codebook design,0.5276019366280574
csi feedback,0.5276019366280574
evolutionary optimization,0.5275220487517193
cyclostationarity,0.5274641181700163
mccdma system,0.5274069601307294
narrow band interference,0.5274069601307294
reference image,0.5274069601307294
biorthogonal,0.5274069601307294
voicexml,0.5273596447648875
telephone line,0.5273596447648875
openmp,0.5273350383433604
detection algorithm,0.5272834357572216
ngram language model,0.5272122477037552
rain attenuation,0.5272030838597083
multipleinput multipleoutput channel,0.5272030838597083
differential detection,0.5271925768987107
mobile communication system,0.5271925768987107
dvbt,0.5271925768987107
nakagami fading channel,0.5271925768987107
full rate,0.5271925768987107
cable television system,0.5271083718422294
automatic target recognition,0.5269669905437838
servomotors,0.5269669905437838
phone recognition,0.5269669905437838
shape matching,0.5268218935765459
stochastic resonance,0.5266591145286095
data plane,0.5263898409203308
user authentication scheme,0.5263898409203308
perfect forward secrecy,0.5263898409203308
impersonation attack,0.5263898409203308
voip system,0.5263898409203308
ip telephony,0.5263898409203308
computer aided network analysis,0.5263898409203308
antivirus software,0.5263898409203308
network survivability,0.5263898409203308
text messaging,0.5263898409203308
generalized multiprotocol label switching,0.5263898409203308
trojan,0.5263898409203308
passwordauthenticated key exchange,0.5263898409203308
key distribution scheme,0.5263898409203308
public switched telephone network,0.5263898409203308
key management scheme,0.5263898409203308
contentbased video retrieval,0.5261038639490163
code division multiple access system,0.526041326616168
human factor,0.5258480697207897
language model adaptation,0.5258279311742692
clean speech,0.5258279311742692
speech enhancement method,0.52565135550871
fingerprint database,0.5252668269011216
fingerprint classification,0.5252668269011216
video database,0.5252668269011216
route optimization,0.5251625593034296
user interface design,0.525076119371495
frequency estimator,0.5250727490482556
antenna lobe,0.5250727490482556
monostatic,0.5250727490482556
angle estimation,0.5250727490482556
symbol timing,0.5250727490482556
adaptive detection,0.5250727490482556
robust performance,0.5250727490482556
optimal bit allocation,0.5250727490482556
radar detection,0.5250727490482556
ml estimator,0.5250727490482556
multiple input multiple output radar,0.5250727490482556
electric frequency measurement,0.5250727490482556
radar interference,0.5250727490482556
radar receiver,0.5250727490482556
adaptive notch filter,0.5250727490482556
linear predictive coding,0.5250727490482556
spreading sequence,0.5250727490482556
feature descriptor,0.5249996195260006
global feature,0.5249996195260006
text entry,0.5248619110970758
privacy policy,0.5247651594911521
crossbar equipment,0.5246067022244132
coprocessor,0.5245762365611618
coprocessors,0.5245762365611618
correlation theory,0.5243157374495664
turbo coding,0.5243157374495664
raytracing technique,0.5243157374495664
imperfect channel estimation,0.5243157374495664
polar code,0.5243157374495664
hardware/software partitioning,0.5242194034347085
chalcogenide,0.5241996896187231
hydrophones,0.5241996896187231
chalcogenides,0.5241996896187231
ubiquitous learning,0.5241868731877143
personalized learning,0.5241868731877143
security framework,0.5241063155269383
noisy signal,0.5240307668924234
bit stream,0.5239149757132423
bitstreams,0.5239149757132423
video encoding,0.5237976634194993
video encoder,0.5237976634194993
multiuser mimo downlinks,0.523706711053133
